Compound,Source,Unit,Turbidity (NTU),Source,doi
Detention pond,Influent,TSS Concentration (mg/L),29.21299934,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),214.4149933,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),74.37000275,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),187.5679932,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),78.23100281,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),36.77099991,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),99.13022614,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),75.58849335,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),127.5494156,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),124.9298248,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),178.4583893,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),5.54711628,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),109.5167694,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),52.26133347,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),158.3367615,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),33.53514862,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),32.62131119,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),203.3683014,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),52.88471603,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),46.24359131,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),37.82739639,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),90.19999695,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),7.199999809,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),11.53999996,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),7.489999771,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),5.309999943,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),143.6199951,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),86.23999786,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),40.22999954,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),72.87999725,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),455.0100098,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),31.20000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),45.63000107,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),31.43097878,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),202.6092224,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),58.1499176,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),89.42731476,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),24.96948242,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),10.64999962,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),47.81111145,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),25.88421059,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),30.67045021,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),76.15631866,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),257.7200317,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),112.6375351,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),140.2041016,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),42.92852402,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),261.8084412,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),147.1845398,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),80,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),22.63313866,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),57.18626785,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),393.4098816,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),38.02447128,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),104.2239838,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),75.18227386,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),29.48600769,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),19.6437397,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),9.759335518,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),15.27923584,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),206.013916,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),83.29947662,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),155.3085632,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),118.1154938,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),74.03034973,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),66.46069336,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),32.35915375,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),218.3540344,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),23.73594284,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),150.7746429,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),14.5247345,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),40.67683411,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),2815.009277,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),8.619308472,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),6.824813366,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),26.50924873,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),403.3595276,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),21.27180672,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),79.92555237,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),39.69005203,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),17.84437752,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),13,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),192,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),92,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),161,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),62,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),96,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),111,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),26,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),104,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),33,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),48,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),14.58294678,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),45.79708481,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),93.08545685,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),12.83046436,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),95.91604614,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),9.554109573,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),51.94997787,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),51.22205734,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),115.9000015,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),772.7000122,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),149.6999969,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),333.8999939,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),56,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),116,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),206.3999939,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),76,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),774.5999756,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),144.1999969,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),78.09999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),57.59999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),36,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),153.6000061,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),967,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),203.6999969,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),53.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),59.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),120.3000031,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),167.3999939,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),204.3999939,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),39.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),19.10000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),68.69999695,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),30.79999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),127.1999969,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),154.6000061,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),62.59999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),112.5999985,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),8.399999619,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),18.60000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),24.29999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),51.79999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),39.59999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),64.30000305,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),29,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),28.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),77.69999695,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),57.40000153,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),100.9000015,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),204.6999969,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),98,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),52,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),233,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),216,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),184,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),99,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),67,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),67,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),180,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),210,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),28.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),25,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),45,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),24.83333397,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),6.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),28.13188553,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),47.11494064,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),27,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),26,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),64.8,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),131,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),14,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),382.9352112,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),124.3207779,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),5.033629894,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),39.05809021,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),38,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),44.59999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),155,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),128,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),554,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),115,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),14.53499985,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),26.11859703,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),14.390522,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),15.19999981,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),13,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),15,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),2.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),135,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),116,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),9,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),20,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),146,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),45,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),25,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),16,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),6,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),200,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),27.60000038,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),27.20000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),64,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),35.59999847,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Detention pond,Influent,TSS Concentration (mg/L),9,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
