Compound,Source,Unit,Turbidity (NTU),Source,doi
Bioretention,Influent,TSS Concentration (mg/L),78.23100281,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),36.77099991,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),25.29999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),40,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),52.70000076,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),84,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),604,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),163.6000061,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),46.79999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),34,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),46,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),51.5,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2.956514597,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),30.80166054,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),104.2222214,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11.54444313,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11.35833359,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),14.22222137,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),159.7722168,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),25.17499924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11.91250134,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),2.975000143,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),10.11666679,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11.86666679,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),19.76666641,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),66.80000305,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),23.82499886,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),10.96666718,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),23,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),13.17500019,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),3.070833445,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),24.54999924,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),57,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),248.1110992,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),76,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),22,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),10,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),11,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),14,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),12,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),25,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),139,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),113,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),13,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),128,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),78,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),16,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),30,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Bioretention,Influent,TSS Concentration (mg/L),16,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
