OBJECTID,FID_,id,site_name,continent,country,latitude,longitude,year_opera,year_shut_,main_mar_t,specific_m,link_to_do,influent_s,final_use,main_objec,reference_,wgs84,wgs84_X,wgs84_Y,RASTERVALU
166,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_193a,110,"Xiongxian, Baoding",Asia,China,36.630317,117.02111,1988,-9999,Spreading Methods,Surface flooding and ditch-and-furrow,<a href='https://inowas.com/mar-methods/ditches-and-furrows/' target='_blank'>Ditches and furrows</a>,River water,Agricultural,Physical Aquifer Management,"Ding, K.-L. 1996. Explore effective ways and measure of artificial recharge of groundwater  (in Chinese: 人工回灌地下水的有效途径和方法探讨). China Rural Hydropower 1/2: 14–17.",117.02111 36.630317,0,0,153.3359985
167,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_193b,915,McBryde Sugar Company,North America,USA,21.914329,-159.589702,1924,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Agricultural,Maximize Natural Storage,"<a href='https://scholarspace.manoa.hawaii.edu/bitstream/10125/15104/1/wrrctr54.pdf' target='_blank'>Peterson, F. L., and D. R. Hargis. 1971. Effect of Storm Runoff Disposal and Other Artificial Recharge to Hawaiian Ghyben-Herzberg Aquifers. 54. WRRC Tec",-159.589702 21.914329,0,0,
168,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_193c,74,Sanjianpu,Asia,China,38.903652,121.286811,2002,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Ecological,Physical Aquifer Management,"<a href='https://www.researchgate.net/publication/301623647_Spatial_characterization_of_the_seawater_upconing_process_in_a_coastal_Mediterranean_aquifer_Plana_de_Castellon_Spain_evolution_and_controls' target='_blank'>Shi, L., and J. J. Jiao. 2014. Seawa",121.286811 38.903652,0,0,159.2233276
169,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_193d,374,Pursiala,Europe,Finland,61.670787,27.284098,1974,-9999,Spreading Methods,Excess Irrigation,<a href='https://inowas.com/mar-methods/excess-irrigation/' target='_blank'>Excess irrigation</a>,Lake water,Domestic,Water Quality Management,"Helmisaari, H.S., Derome, J., Hatva, T., 2005. Artificial recharge in Finland through basin and sprinkling infiltration: soil process, retention time and water quality, International Symposium on Management of Aquifer Recharge, Berlin.",27.284098 61.670787,61.670787,27.284098,
170,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_193e,607,Katrineholm,Europe,Sweden,58.995,16.205,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Bowen, H., 1986. Groundwater. Elsevier applied Science Publishers.",16.205 58.995,58.995,16.205,
171,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_193f,699,Little Para Dam,Oceania,Australia,-34.7537319,138.7206319,1979,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Ecological,Maximize Natural Storage,"<a href='http://webarchive.nla.gov.au/gov/20160615084940/http://archive.nwc.gov.au/library/waterlines/73' target='_blank'>Parsons, S., P. Dillon, E. Irvine, G. Holland, and C. Kaufman. 2012. Progress in Managed Aquifer Recharge in Australia. Waterlines R",138.7206319 -34.7537319,0,0,12.48933315
172,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1940,85,Northwest University,Asia,China,34.148276,108.87438,2009,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Ecological,Physical Aquifer Management,"<a href='http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=dixs201204004' target='_blank'>Su, T.-M. 2012. Six demonstration sites groundwater recharge in Xi’an (in Chinese: 西安市建成投運六處地下水回灌示範點). Groundwater,",108.87438 34.148276,0,0,86.19999695
173,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1941,118,"Xinshi, Baoding",Asia,China,38.94355,115.373177,2001,-9999,Spreading Methods,Surface flooding and ditch-and-furrow,<a href='https://inowas.com/mar-methods/ditches-and-furrows/' target='_blank'>Ditches and furrows</a>,River water,Agricultural,Water Quality Management,"Li, R.-W. 2009. Analysis on the Hydro-Geological Conditions of Yimuquan Source Water (in Chinese: 保定市一亩泉水源地水文地质条件分析与评价). Water Sciences and Engineering Technology 3: 48–52. doi:1672-9900(2014)03-0048-05.",115.373177 38.94355,0,0,80.96733093
174,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1942,305,Sunagawa,Asia,Japan,24.732902,125.353333,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Agricultural,Maximize Natural Storage,"Hanada, J., and T. Nakano. 2013. The Rural Development through Application of Underground Dams - Case Study of Miyako-Jima. In Integrated Water Resource Management for Food Security, 5–6. Hokkaido: Hokkaido University. www.eng.hokudai.ac.jp/labo/UBNWTR",125.353333 24.732902,0,0,
175,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1943,694,Munno Para West,Oceania,Australia,-34.66836,138.674906,2009,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,Ecological Benefits,<a href='http://swharvesting.waterdata.com.au/pages/Scheme.aspx?id=82&catchmentid=17 ' target='_blank'>Government of South Australia. 2015. Munno Para West. Adelaide & Mount Lofty Ranges Urban Stormwater Harvesting Sub-Catchments. http://swharvesting.wat,138.674906 -34.66836,0,0,12.48933315
176,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1944,483,Madonetta E,Europe,Italy,45.698,11.523,2012,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,no data,no data,"Battistello, d.G., Campagnolo, F., Prima, L.D., Muraro, T., Sottani, A., 2013. Esperienze di Ricarica Artificiale Degli Acquiferi in Provincia di Vicenza: risultati acquisiti e prospettive di sviluppo del metodo con pozzi disperdenti. Pr",11.523 45.698,45.698,11.523,478.7139893
177,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1945,358,Höttinger Au,Europe,Austria,47.269,11.404,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"<a href='https://www.uibk.ac.at/umwelttechnik/teaching/master/da_schoen.pdf' target='_blank'>Schön, M., 2006. Systematic Comparision of Riverbank Filtration Sites in Austria and India. FAKULTÄT FÜR BAUINGENIEURWISSENSCHAFTEN, LEOPOLD FRANZENS UNIVERSI",11.404 47.269,47.269,11.404,839.7553101
178,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1946,1126,Buell-Red Prairie AR,North America,USA,45.001552,-123.5132,1983,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Domestic,Physical Aquifer Management,<a href='https://digital.osl.state.or.us/islandora/object/osl%3A84968' target='_blank'>Aquifer Storage & Recovery and Artificial Recharge in the State of Oregon. 2008. http://www.oregon.gov/owrd/pages/mgmt_gw_recharge.aspx.</a>,-123.5132 45.001552,0,0,815.9286499
179,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1947,1103,7th and 8th Street Basins,North America,USA,34.089705,-117.632777,2004,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,no data,no data,"<a href='http://www.nwri-usa.org/pdfs/WildermuthPresentationfinal.pdf' target='_blank'>Wildermuth, M., W. Wang, K. Manning, and B. Pak. 2011. Optimization of Supplemental Water Recharge Location and Magnitude to Balance Recharge and Discharge in the Chin",-117.632777 34.089705,0,0,59.77133179
180,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1948,318,Ssangcheon,Asia,Korea,36.638522,127.346757,1995,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Agricultural,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",127.346757 36.638522,0,0,748.0626831
181,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1949,1020,San Gorgonio Pass basins,North America,USA,33.978323,-116.972362,1960,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"<a href='https://water.usgs.gov/ogw/pubs/ofr0289/alf_role.htm' target='_blank'>Flint, A. L. 2002. The Role of Unsaturated Flow in Artificial Recharge Projects. In U.S. Geological Survey Artificial Recharge Workshop Proceedings, April 2-4, 2002, Sacrament",-116.972362 33.978323,0,0,59.77133179
182,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_194a,404,Tegel,Europe,Germany,52.58,13.27,1877,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,Lake water,Domestic,Water Quality Management,"<a href='https://www.berlin.de/senuvk/umwelt/wasser/download/wvk2040.pdf' target='_blank'>Möller, K., Burgschweiger, J., 2008. Wasserversorgungskonzept für Berlin  und für das von den BWB versorgte Umland (Entwicklung bis 2040) Berlin.</a>",13.27 52.58,52.58,13.27,
183,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_194b,977,Eaton Wash Spreading Grounds,North America,USA,34.162916,-118.089032,1947,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,no data,Physical Aquifer Management,<a href='http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=17' target='_blank'>Eaton Wash Spreading Grounds. 2015. County of Los Angeles - Department of Public Works. http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm,-118.089032 34.162916,0,0,60.72733307
184,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_194c,500,Scheveningen CIP,Europe,Netherlands,52.125,4.31,1974,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P.J., Nienhuis, P., Antoniou, A., Zuurbier, K., 2012. Haalbaarheid van ondergrondse berging via A(S/T)R in Hollands kustduinen.",4.31 52.125,52.125,4.31,
185,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_194d,848,La Ligua,South America,Chile,-32.4499018,-71.2325958,2013,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Maximize Natural Storage,no data,-103.6824976,0,0,65.58000183
186,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_194e,845,Peumo Valley,South America,Chile,-34.05,-71.3,2003,-9999,In-Channel Modification,Channel infiltration/spreading,<a href='https://inowas.com/mar-methods/channel-spreading/' target='_blank'>Channel spreading</a>,Storm water,Agricultural,Other Benefits,"<a href='https://www.repo.uni-hannover.de/bitstream/handle/123456789/1496/at02.pdf?sequence=1&isAllowed=y' target='_blank'>Arumí, J. L., D. Rivera, E. Holzapfel, P. Boochs, M. Billib, and A. Fernald. 2009. Effect of the Irrigation Canal Network on Surfa",-105.35,0,0,309.2426758
187,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_194f,188,N/A,Asia,China,37.909021,102.647167,1997,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Ecological,Physical Aquifer Management,"Zhou, J., K.-Q. Chen, P. Liang, and X. Su. 2014. Problems and application prospect of ASR technology in the underground reservoir construction of China  (in Chinese: ASR技术模式在我国地下水库工程建设应用中面临的问题与应用展望",102.647167 37.909021,0,0,41.39866638
188,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1950,557,Engelsche Werk,Europe,Netherlands,52.499,6.072,1930,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P.J., Nienhuis, P., Antoniou, A., Zuurbier, K., 2012. Haalbaarheid van ondergrondse berging via A(S/T)R in Hollands kustduinen.",6.072 52.499,52.499,6.072,
189,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1951,1096,Superstition Mountains Recharge Project (SMRP),North America,USA,33.226945,-111.500925,2011,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,Maximize Natural Storage,<a href='http://www.cap-az.com/index.php/departments/recharge-program/superstition-mountains' target='_blank'>Superstition Mountains Recharge Project (SMRP). 2015. Central Arizona Project. http://www.cap-az.com/index.php/departments/recharge-program/supe,-111.500925 33.226945,0,0,42.06733322
190,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1952,283,Soreq-2,Asia,Israel,31.954099,34.76879,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Reclaimed wastewater,Agricultural,Water Quality Management,"<a href='http://www.switchtraining.eu/fileadmin/template/projects/switch_training/db/event_upload_folder/1/2-Presentation_Avi_AHARONI_Tel_Aviv_SAT_workshop_,_November_.pdf' target='_blank'>Aharoni, A. 2007. SAT as Practiced Historically in Israel: Princi",34.76879 31.954099,31.954099,34.76879,173.6186676
191,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1953,119,3 Ba Li Zhuang Lu Chaoyang Qu,Asia,China,39.913323,116.494904,1965,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,no data,Maximize Natural Storage,"Zhang, Y., Y. Sun, and X. Wang. 2013. Introduction to Artificial Recharge of Groundwater in Beijing (in Chinese: 北京地区地下水人工回灌简介） 8 (1): 51–53. doi:1007-1903(2013)01-0051-03.",116.494904 39.913323,0,0,81.98867035
192,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1954,315,Hancheon,Asia,Korea,33.444757,126.524602,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,Other Benefits,"<a href='http://www.dina-mar.es/pdf/ismar7-proceedingsbook.pdf' target='_blank'>Kim, Y., Y. Kim, D. Moon, and K. Koh. 2012. Stormwater Artificial Recharge Method through Vadose Injection into Volcanic Aquifer in Jeju, South Korea. In Achieving Ground Wat",126.524602 33.444757,0,0,
193,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1955,1072,Beaufort-Jasper Water and Sewer Authority,North America,USA,32.365499,-80.869252,1999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,no data,no data,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-80.869252 32.365499,32.365499,-80.869252,
194,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1956,555,Vierakker,Europe,Netherlands,52.107,6.235,1889,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,no data,"Stuyfzand, P.J., Doomen, A., 2004. The Dutch experience with MARS (Managed Aquifer Recharge and Storage) - A review of facilities, techniques and tools.",6.235 52.107,52.107,6.235,
195,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1957,1074,Jordan Valley Water District,North America,USA,40.68985,-111.834448,1993,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,no data,Physical Aquifer Management,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-111.834448 40.68985,0,0,10.93466663
196,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1958,505,Druten,Europe,Netherlands,51.872,5.608,1953,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P., Juhàsz-Holterman, M.A., de Lange, W., 2006. Riverbank Filtration in the The Netherlands: Well Fields, Clogging and Geochemical Reactions, in: Hubbs, S. (Ed.), Riverbank Filtration Hydrology. Springer The Netherlands, pp. 119-153.",5.608 51.872,51.872,5.608,
197,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1959,152,Irrigation Science and Technology,Asia,China,39.076649,117.213038,-9999,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Ecological,Maximize Natural Storage,"Wang, Z. 2012. Utilization of urban rainwater in groundwater (in Chinese: 城市雨水在地下水中的利用分析). Groundwater 34 (2): 51–52. doi:1004-1184(2012)02-0051-02.",117.213038 39.076649,0,0,103.5666656
198,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_195a,25,Kano River irrigation Project (KRIP),Africa,Nigeria,12.00012,8.51672,2009,-9999,Spreading Methods,Excess Irrigation,<a href='https://inowas.com/mar-methods/excess-irrigation/' target='_blank'>Excess irrigation</a>,River water,Agricultural,Maximize Natural Storage,"Sobowale, A., A. A. Ramalan, O. J. Mudiare, and M. A. Oyebode. 2014. Groundwater Recharge Studies in Irrigated Lands in Nigeria: Implications for Basin Sustainability. Sustainability of Water Quality and Ecology 3–4 (October). Towards Sustainability As",8.51672 12.00012,12.00012,8.51672,421.8340149
199,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_195b,1023,Punta Gorda ASR,North America,USA,26.973355,-81.935457,2002,2012,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"<a href='https://water.usgs.gov/ogw/pubs/ofr0289/jda_mobilization.htm' target='_blank'>Arthur, J. D., A. A. Dabous, and J. B. Cowart. 2002. Mobilization of Arsenic and Other Trace Elements during Aquifer Storage and Recovery, Southwest Florida. In U.S. G",-81.935457 26.973355,26.973355,-81.935457,
200,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_195c,983,Lopez Spreading Grounds,North America,USA,34.298245,-118.414121,1956,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,no data,Physical Aquifer Management,<a href='http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=24' target='_blank'>Lopez Spreading Grounds. 2015. County of Los Angeles - Department of Public Works. http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?faci,-118.414121 34.298245,0,0,60.72733307
201,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_195d,275,Emek Hefer Region,Asia,Israel,32.375216,34.90981,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Domestic,Physical Aquifer Management,"Aberbach, S. H., and A. Sellinger. 1967. Review of Artificial Groundwater Recharge in the Coastal Plain of Israel. International Association of Scientific Hydrology. Bulletin 12 (1): 65–77. doi:10.1080/02626666709493512.",34.90981 32.375216,32.375216,34.90981,173.6186676
202,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_195e,337,Tanuf,Asia,Oman,23.058707,57.469183,1988,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Physical Aquifer Management,"Luxton, S. S., C. E. Fuller, J. K. I. Kane, R. E. Preble, and M. G. Utting. 1991. Technical Assistance Program for the Ministry of Water Resources, Sultanate of Oman. Field report 332. WASH Field Report. Washington DC, USA: Omani-American Joint Commissio",57.469183 23.058707,23.058707,57.469183,-16.52066612
203,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_195f,530,De Laak,Europe,Netherlands,51.957,5.036,1936,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P., Juhàsz-Holterman, M.A., de Lange, W., 2006. Riverbank Filtration in the The Netherlands: Well Fields, Clogging and Geochemical Reactions, in: Hubbs, S. (Ed.), Riverbank Filtration Hydrology. Springer The Netherlands, pp. 119-153.",5.036 51.957,51.957,5.036,
204,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1960,506,Enschede,Europe,Netherlands,52.22696,6.886368,1952,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Maximize Natural Storage,"Stuyfzand, P.J., Doomen, A., 2004. The Dutch experience with MARS (Managed Aquifer Recharge and Storage) - A review of facilities, techniques and tools.",6.886368 52.22696,52.22696,6.886368,
205,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1961,609,Landskrona,Europe,Sweden,55.87,12.83,-9999,-9999,Spreading Methods,Surface flooding and ditch-and-furrow,<a href='https://inowas.com/mar-methods/flooding/' target='_blank'>Flooding</a>,Lake water,Domestic,Maximize Natural Storage,"Bowen, H., 1986. Groundwater. Elsevier applied Science Publishers.",12.83 55.87,55.87,12.83,
206,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1962,727,Callide Dam (Callide Valley),Oceania,Australia,-24.366833,150.613771,1965,-9999,In-Channel Modification,Channel infiltration/spreading,<a href='https://inowas.com/mar-methods/channel-spreading/' target='_blank'>Channel spreading</a>,River water,Agricultural,Maximize Natural Storage,"Redlich, H. 2011. Submissions On Behalf Of Sunwater Limited (And Burnett Water Pty Ltd). SNWQ.001.001.0005. Brisbane: Queensland floods commission of inquiry. www.floodcommission.qld.gov.au/__data/assets/file/0005/5954/Sunwater_and_Burnett_Water.pdf.",150.613771 -24.366833,0,0,158.9266663
207,globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1963,461,Westhofen2,Europe,Germany,51.4157,7.5182,1922,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"Wasserwerk Westhofen 2, http://www.wasserwerke-westfalen.de/wasser/wasserwerke/westhofen-2/",7.5182 51.4157,51.4157,7.5182,
