Site name,Continent,Country,Latitude,Longitude,MAR type,Influent type,Climate
Área do Instituto de Pesquisas Hidráulicas - UFRGS - Trincheira 1,South America,Brasil,-30.076102,-51.114595,Trenches,Storm water,Humid
Mira Model School,Asia,India,28.630862,77.093942,Rooftop Rainwater Harvesting,Storm water,Humid
"Xiongxian, Baoding",Asia,China,36.630317,117.02111,Surface flooding and ditch-and-furrow,River water,Dry sub-humid
Sanjianpu,Asia,China,38.903652,121.286811,Subsurface Dam,River water,Dry sub-humid
Pursiala,Europe,Finland,61.670787,27.284098,Excess Irrigation,Lake water,Humid
Katrineholm,Europe,Sweden,58.995,16.205,Infiltration basin,Lake water,Humid
Little Para Dam,Oceania,Australia,-34.7537319,138.7206319,Check dam,River water,Semi-arid
Northwest University,Asia,China,34.148276,108.87438,Aquifer storage and recovery,River water,Humid
"Xinshi, Baoding",Asia,China,38.94355,115.373177,Surface flooding and ditch-and-furrow,River water,Semi-arid
Munno Para West,Oceania,Australia,-34.66836,138.674906,Aquifer storage and recovery,Storm water,Semi-arid
Madonetta E,Europe,Italy,45.698,11.523,Aquifer storage using wells,River water,Humid
Ho?ttinger Au,Europe,Austria,47.269,11.404,Bank filtration,River water,Humid
Buell-Red Prairie AR,North America,USA,45.001552,-123.5132,Aquifer storage using wells,River water,Humid
7th and 8th Street Basins,North America,USA,34.089705,-117.632777,Infiltration basin,Reclaimed wastewater,Semi-arid
Ssangcheon,Asia,Korea,36.638522,127.346757,Subsurface Dam,Groundwater,Humid
San Gorgonio Pass basins,North America,USA,33.978323,-116.972362,Infiltration basin,River water,Semi-arid
Tegel,Europe,Germany,52.58,13.27,Bank filtration,Lake water,Humid
Eaton Wash Spreading Grounds,North America,USA,34.162916,-118.089032,Infiltration basin,Lake water,Semi-arid
La Ligua,South America,Chile,-32.4499018,-71.2325958,Infiltration basin,River water,Semi-arid
Peumo Valley,South America,Chile,-34.05,-71.3,Channel infiltration/spreading,Storm water,Semi-arid
N/A,Asia,China,37.909021,102.647167,Subsurface Dam,River water,Semi-arid
Engelsche Werk,Europe,Netherlands,52.499,6.072,Bank filtration,River water,Humid
Superstition Mountains Recharge Project (SMRP),North America,USA,33.226945,-111.500925,Infiltration basin,River water,Semi-arid
3 Ba Li Zhuang Lu Chaoyang Qu,Asia,China,39.913323,116.494904,Aquifer storage using wells,River water,Semi-arid
Hancheon,Asia,Korea,33.444757,126.524602,Infiltration basin,River water,Humid
Vierakker,Europe,Netherlands,52.107,6.235,Bank filtration,River water,Humid
Druten,Europe,Netherlands,51.872,5.608,Bank filtration,River water,Humid
Irrigation Science and Technology,Asia,China,39.076649,117.213038,Rooftop Rainwater Harvesting,Storm water,Semi-arid
Kano River irrigation Project (KRIP),Africa,Nigeria,12.00012,8.51672,Excess Irrigation,River water,Humid
Punta Gorda ASR,North America,USA,26.973355,-81.935457,Aquifer storage and recovery,River water,Humid
Lopez Spreading Grounds,North America,USA,34.298245,-118.414121,Infiltration basin,Lake water,Semi-arid
Tanuf,Asia,Oman,23.058707,57.469183,Check dam,River water,Arid
De Laak,Europe,Netherlands,51.957,5.036,Bank filtration,River water,Humid
Enschede,Europe,Netherlands,52.22696,6.886368,Infiltration basin,River water,Humid
Callide Dam (Callide Valley),Oceania,Australia,-24.366833,150.613771,Channel infiltration/spreading,River water,Semi-arid
Westhofen2,Europe,Germany,51.4157,7.5182,Infiltration basin,River water,Humid
Jhiri (Amli),Asia,India,27.255127,76.219031,Check dam,River water,Humid
Williston,Africa,South Africa,-31.624083,21.216791,Aquifer storage and recovery,Groundwater,Semi-arid
Appoigny,Europe,France,47.87689825,3.527624844,Infiltration basin,River water,Humid
Flammerans,Europe,France,47.2303313,5.447404674,Infiltration basin,River water,Humid
Llohué,South America,Chile,-36.30344636,-72.46431222,Trenches,Storm water,Humid
Granite Reef Underground Storage Project (GRUSP),North America,USA,33.491674,-111.777168,Infiltration basin,River water,Semi-arid
Hengsen,Europe,Germany,51.458,7.63,Infiltration basin,River water,Humid
"Tacoma Public Utilities Building – 13A1, B1",North America,USA,47.227693,-122.485958,Aquifer storage and recovery,Groundwater,Humid
Torgau-Ost,Europe,Germany,51.554,13,Bank filtration,River water,Humid
Beelitzhof,Europe,Germany,52.43,13.18,Bank filtration,River water,Humid
La Mitidja Big Bag,Africa,Algeria,36.538316,3.061936,no data,River water,Dry sub-humid
Fakhrabad,Asia,Iran,31.635948,54.345453,Check dam,River water,Semi-arid
"West Coast Telephone Co. building – 31A1,A2",North America,USA,47.961856,-122.221574,Aquifer storage and recovery,Groundwater,Humid
City of Lincoln – collector wells,North America,USA,41.056019,-96.321379,Bank filtration,River water,Semi-arid
Shifosi,Asia,China,42.147266,123.343543,Infiltration basin,Storm water,Dry sub-humid
Bremerberg dijk,Europe,Netherlands,52.442,5.777,Bank filtration,Lake water,Humid
"Jinshui, Zhengzhou",Asia,China,34.82362,113.705344,Infiltration basin,River water,Dry sub-humid
Derby,Europe,United Kingdom,53.19287,-1.678162,Bank filtration,River water,Humid
Springfield,North America,USA,44.024614,-123.02081,Aquifer storage and recovery,River water,Humid
Nong Taphan,Asia,Thailand,12.753379,101.258063,Aquifer storage and recovery,River water,Humid
Monteccio Precalcino,Europe,Italy,45.698,11.523,Aquifer storage using wells,River water,Humid
City of Walla Walla,North America,USA,46.061742,-118.346772,Aquifer storage and recovery,River water,Semi-arid
Branford Spreading Basin,North America,USA,34.230428,-118.415493,Infiltration basin,Storm water,Semi-arid
IEUA RP3 Ponds,North America,USA,34.044332,-117.475568,Infiltration basin,Reclaimed wastewater,Semi-arid
Doesburg,Europe,Netherlands,52.01511,6.134491,Bank filtration,River water,Humid
Uppsala,Europe,Sweden,59.437,15.974,Infiltration basin,Lake water,Humid
Bacia 1: Rod. Geraldo Silva Nascimento – Instituto Federal Goiano,South America,Brasil,-17.495,-48.2269,Infiltration basin,Storm water,Humid
Satsuma,Oceania,Australia,-34.781838,138.717997,Aquifer storage and recovery,Storm water,Semi-arid
Shougang,Asia,China,40.02154,116.264289,Aquifer storage using wells,River water,Semi-arid
Unity Park/Pooraka,Oceania,Australia,-34.87985,138.66977,Aquifer storage and recovery,Storm water,Semi-arid
Madison Farms,North America,USA,45.712723,-119.359432,Aquifer storage and recovery,Groundwater,Semi-arid
Nakajima,Asia,Japan,33.973943,132.616781,Subsurface Dam,Groundwater,Humid
City of Dallas,North America,USA,44.919471,-123.338634,Aquifer storage and recovery,River water,Humid
Wanglanzhuang,Asia,China,39.053573,117.191555,Aquifer storage and recovery,Groundwater,Semi-arid
Sedgwick Recharge System,North America,USA,37.883601,-97.481024,Infiltration basin,River water,Semi-arid
Duck Lake recharge,North America,USA,48.454911,-119.538675,Excess Irrigation,River water,Dry sub-humid
Kalinkovo,Europe,Slovakia,48.0611,17.25248,Bank filtration,River water,Humid
Live Oak Spreading Grounds,North America,USA,34.121945,-117.745374,Infiltration basin,Lake water,Semi-arid
Torreele/St-Andre ?,Europe,Belgium,50.69744,5.753059,Infiltration basin,Reclaimed wastewater,Humid
"Tacoma Savings & Loan Association Building – 4D1,2",North America,USA,47.237521,-122.432237,Aquifer storage and recovery,Groundwater,Humid
Les Ansereuilles,Europe,France,50.557343,2.94616,Bank filtration,River water,Humid
Richland recharge basins,North America,USA,46.255101,-119.264761,Infiltration basin,River water,Dry sub-humid
Sítio Fazenda Lagoa Comprida,South America,Brasil,-7.9,-40.25,Subsurface Dam,River water,Semi-arid
Fazenda Nossa Senhora do Rosário,South America,Brasil,-8.403055,-37.815,Excess Irrigation,Groundwater,Semi-arid
Briesen/Spree,Europe,Germany,53.305,14.219,Bank filtration,River water,Humid
Taihe Reservoir,Asia,China,36.519783,118.125446,Check dam,River water,Dry sub-humid
Saloppe,Europe,Germany,51.065,13.791,Excess Irrigation,Lake water,Humid
San Dimas Canyon Spreading Grounds,North America,USA,34.129229,-117.787097,Infiltration basin,Lake water,Semi-arid
Sítio Fazenda Pitombeira,South America,Brasil,-7.57382,-40.25341,Subsurface Dam,River water,Semi-arid
El Sen?ori?o,Europe,Spain,39.49,-4.96,Aquifer storage and recovery,Storm water,Dry sub-humid
Mondragon,Europe,France,44.23826135,4.713302401,Aquifer storage using wells,River water,Humid
San Carlos Estates ASR System,North America,USA,26.389166,-81.7736111,Aquifer storage and recovery,Reclaimed wastewater,Humid
Hidango,South America,Chile,-34.10332595,-71.83023593,Trenches,Storm water,Semi-arid
Weinhu?bel,Europe,Germany,51.156,14.986,Bank filtration,River water,Humid
Flins,Europe,France,48.98248,1.860166,Bank filtration,River water,Humid
Kabudrahang,Asia,Iran,35.207186,48.724458,Check dam,River water,Semi-arid
Padipatlabayalu area,Asia,India,13.519922,79.020965,Check dam,River water,Semi-arid
Sítio Várzea Comprida,South America,Brasil,-24.047689,-48.870614,Subsurface Dam,River water,Humid
Halls Head,Oceania,Australia,-32.540789,115.690477,Infiltration basin,Reclaimed wastewater,Dry sub-humid
BS-4,South America,Brasil,-6.068088,-37.32788,Subsurface Dam,Storm water,Dry sub-humid
Hardhof,Europe,Switzerland,47.401,8.48,Bank filtration,River water,Humid
Birstal,Europe,Switzerland,47.493,7.591,Aquifer storage and recovery,Groundwater,Humid
Biarjomand recharge project,Asia,Iran,36.076362,55.641625,Check dam,River water,Semi-arid
Witten,Europe,Germany,51.50182,7.893202,Infiltration basin,River water,Humid
Hyndevad,Europe,Sweden,59.323,16.45,Infiltration basin,Lake water,Humid
Belgrade,Europe,Serbia and Montenegro,44.84321,20.45654,Bank filtration,River water,Humid
