FID,id,site_name,continent,country,latitude,longitude,year_operation_start,year_shut_down,main_mar_type,specific_mar_type,link_to_documents,influent_source,final_use,main_objective,reference_author_year,wgs84
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a4d,724,Bazley Weir (Three Moon Creek),Oceania,Australia,-24.893695,151.123261,1988,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://www.qca.org.au/Water/Rural/SunWater-s-Irrigation-Prices/Bulk-water-supply-schemes/Three-Moon-Creek/Final-Report/Three-Moon-Creek#finalpos.' target='_blank'>SunWater. 2012. Three Moon Creek Water Supply Scheme. SunWater Irrigation Price Review: 2012-2017 Volume 2. Brisbane, Australia: Sun Water. http://www.qca.org.au/Water/Rural/SunWater-s-Irrigation-Prices/Bulk-water-supply-schemes/Three-Moon-Creek/Final-Report/Three-Moon-Creek#finalpos.</a>",151.123261 -24.893695
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a4e,659,Parafield Airport – ASR,Oceania,Australia,-34.7935429,138.6222026,2003,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,Ecological Benefits,"<a href='http://www.goyderinstitute.org/_r113/media/system/attrib/file/104/Public%20Health%20Risk%20Assessment%20Final%20Report%20June%202014%20%282%29.pdf' target='_blank'>Page, D., D. González, P. Dillion, J. Vanderzalm, G. Vadakattu, S. Toze, J. Sidhu, K. Miotlinski, S. Torkzaban, and K. Barry. 2013. Managed Aquifer Recharge and Urban Stormwater Use Options: Public Health and Environmental Risk Assessment Final Report. 13/17. Goyder Institute for Water Research Technical Report Series. Adelaide: Goyder Institute for Water Research.</a>",138.6222026 -34.7935429
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a4f,122,5 Wang Zhuang Lu,Asia,China,39.99876,116.338755,1980,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Domestic,Maximize Natural Storage,"Zhang, Y., Y. Sun, and X. Wang. 2013. Introduction to Artificial Recharge of Groundwater in Beijing (in Chinese: 北京地区地下水人工回灌简介） 8 (1): 51–53. doi:1007-1903(2013)01-0051-03.",116.338755 39.99876
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a50,1342,Jeffara Plain,Africa,Tunisia,33.423801,10.36589,2015,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,River water,Agricultural,no data,"<a href='http://www.wadismar.eu/pdf_SS_2015/Carletti.pdf' target='_blank'>Carletti R., 2015. Managed Aquifer Recharge systems for the integrated groundwater management in arid regions (Tunisia, Algeria)</a>",10.36589 33.423801
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a51,1326,Ica-Villacuri-Lanchas,South America,Peru,-14.049871,-75.72967,2012,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,Other Benefits,"<a href='https://www.imta.gob.mx/biblioteca/libros_html/manejo-recarga-acuiferos-ehl.pdf' target='_blank'>Navarro Venegas, R. & Fernández Escalante, E. (2017) IMPLEMENTACIÓN DE MÁS DE 500 POZAS DE RECARGA ARTIFICIAL PARA LA SOSTENIBILIDAD DEL REGADÍO EN EL ACUÍFERO DE ICA (PERÚ). In Escolero, Ó., Gutiérrez, C. & Mendoza, E. (Eds.) Manejo de la recarga de acuíferos: un enfoque hacia Latinoamérica. Mexico. Instituto Mexicano de Tecnología del Agua</a>",-89.779541
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a52,7,Kitui District,Africa,Kenia,-1.46194,38.00394,-9999,-9999,In-Channel Modification,Sand Storage Dams,<a href='https://inowas.com/mar-methods/sand-dams/' target='_blank'>Sand dams</a>,Groundwater,Domestic,Maximize Natural Storage,"<a href='http://siteresources.worldbank.org/INTWRD/Resources/GWMATE_English_CP_05.pdf' target='_blank'>Foster, S., and A. Tuinhof. 2004. Subsurface Dams to Augment Groundwater Storage in Basement Terrain for Human Subsistence in Brazil and Kenya. 5. Case Profile Collection. World Bank global water partnership associate program. www.un-igrac.org/dynamics/modules/SFIL0100/view.php?fil_Id=182.</a>",38.00394 -1.46194
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a53,829,Fazenda Belmonte,South America,Brasil,-24.0493718,-48.883994,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://ainfo.cnptia.embrapa.br/digital/bitstream/item/69889/1/Avaliacao-da-qualidade-de-agua.pdf' target='_blank'>da Silva, M. S. L., R. da B. V. Parahyba, M. B. de O. Neto, J. B. dos Anjos, T. J. F. Cunha, L. B. Cardoso, and C. L. Mota. 2011. Avaliação da Qualidade da Água para fins de Irrigação em Áreas de Barragens  Subterrâneas no Semiárido do Nordeste Brasileiro. Comunicado Técnico, no. 64 (December). http://ainfo.cnptia.embrapa.br/digital/bitstream/item/69889/1/Avaliacao-da-qualidade-de-agua.pdf</a>",-72.9333658
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a54,249,Sangapur,Asia,India,17.821119,78.658174,1998,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,no data,no data,"Massuel, S., J. Perrin, C. Mascre, W. Mohamed, A. Boisson, and S. Ahmed. 2014. Managed Aquifer Recharge in South India: What to Expect from Small Percolation Tanks in Hard Rock? Journal of Hydrology 512 (May): 157–167. doi:10.1016/j.jhydrol.2014.02.062.",78.658174 17.821119
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a55,1127,Baker City,North America,USA,44.766666,-117.858341,2004,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"<a href='http://apps.wrd.state.or.us/apps/planning/owsci/gw_project.aspx?gw_project_id=9' target='_blank'>Baker City. 2015. Oregon Water Resources Department - Below Ground Storage Site Details. http://apps.wrd.state.or.us/apps/planning/owsci/gw_project.aspx?gw_project_id=9 (accessed October 18, 2015).</a>",-117.858341 44.766666
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a56,950,"Equitable Bldg. – 34N3,4,5",North America,USA,45.520576,-122.67799,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Industrial,Other Benefits,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.</a>",-122.67799 45.520576
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a57,731,Kinchant Dam,Oceania,Australia,-21.1971234,148.893793,1977,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,SunWater. 2011. Dams Potfolio. http://www.sunwater.com.au/management/asset-management/dam-operations.,148.893793 -21.1971234
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a58,316,Namsong,Asia,Korea,34.57321,126.912159,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,Groundwater,Agricultural,no data,"<a href='https://www.jstage.jst.go.jp/article/jarq/45/1/45_1_51/_pdf/-char/en' target='_blank'>Ishida, S., T. Tsuchihara, S. Yoshimoto, and M. Imaizumi. 2011. Review: Sustainable Use of Groundwater with Underground Dams. JARQ 45 (1): 51 – 61.</a>",126.912159 34.57321
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a59,1135,Barrett AR site,North America,USA,45.947697,-118.421937,2014,-9999,Spreading Methods,Reverse Drainage,Reverse Drainage,River water,no data,Physical Aquifer Management,"<a href='http://wwbwc.org/aquifer-recharge-reports.html' target='_blank'>Patten, S., and J. Keller. 2015. Water Year 2014. Oregon Walla Walla Basin Aquifer Recharge Report. Milton-Freewater, OR: Walla Walla Basinn Watershed Council. http://wwbwc.org/aquifer-recharge-reports.html</a>",-118.421937 45.947697
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5a,764,CE Caatinga BS IV,South America,Brasil,-6.803995,-37.959114,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://revistas.aba-agroecologia.org.br/index.php/rbagroecologia/article/view/7092/5217' target='_blank'>Oliveira, A. K. C. de, M. S. L. da Silva, C. C. E. S. E. S. Mendonça, G. B. Ferreira, V. C. Chaves, and D. J. Silva. 2007. Avaliação qualitativa da água de barragens subterrâneas no semi-árido nordestino brasileiro. REVISTA BRASILEIRA DE AGROECOLOGIA 2 (2). http://www.aba-agroecologia.org.br/revistas/index.php/rbagroecologia/article/view/7092</a>",-44.763109
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5b,580,Vergel,Europe,Spain,38.84,0,1985,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Agricultural,Ecological Benefits,"De la Orden Gomez, J.A., Diaz, J.M.M., 2003. LA RECARGA ARTIFICIAL EN EL ACUÍFERO DE VERGEL (ALICANTE) COMO TÉCNICA PALIATIVA DE LOS EFECTOS DE LA INTRUSIÓN MARINA Y SU EVALUACIÓN MEDIANTE MODELACIÓN MATEMÁTICA.",0 38.84
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5c,967,Wabash River - Indiana–American Water Company,North America,USA,39.476635,-87.418028,-9999,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,no data,no data,"Weiss, W. J., E. J. Bouwer, R. Aboytes, M. W. LeChevallier, C. R. O’Melia, B. T. Le, and K. J. Schwab. 2005. Riverbank Filtration for Control of Microorganisms: Results from Field Monitoring. Water Research 39 (10): 1990–2001. doi:10.1016/j.watres.2005.03.018.",-87.418028 39.476635
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5d,946,The Dalles,North America,USA,45.597531,-121.181414,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,Domestic,Physical Aquifer Management,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.</a>",-121.181414 45.597531
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5e,254,Sri Aurobindo Ashram,Asia,India,28.539627,77.199708,2001,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Domestic,no data,"<a href='https://www.cseindia.org/sri-aurobindo-ashram-1988' target='_blank'>Centre for Science and Environment - CSE. 2014. Sri Aurobindo Ashram. Urban Rainwaterharvesting. https://www.cseindia.org/sri-aurobindo-ashram-1988 (accessed September 1, 2014).</a>",77.199708 28.539627
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a5f,936,Deep run lagoon,North America,USA,40.385622,-74.309219,1992,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,no data,"Pucci, A. A. 1994. Artificial Recharge and Ground-Water Resources Evaluation Repults, Northern Coastal Plain of New Jersey. In Proceedings of the Focus Conference on Eastern Regional Ground Water, 489–504. Burlington, Vermont: NGWA. info.ngwa.org/GWOL/pdf/940161611.PDF.",-74.309219 40.385622
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a60,140,Zhaoyuan,Asia,China,37.380946,120.345108,2011,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Ecological,Physical Aquifer Management,"Zang, Y.-L., S.-J. Cai, and D. Wu. 2011. Research on ASR Method Shallow Recharge in Metal Mine of Shandong Peninsula (in Chinese: 胶东半岛金属矿区ASR 法浅层回灌技术研究). Mining R&D 31 (6): 85–87. doi:1005-2763(2011)06-0085-03.",120.345108 37.380946
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a61,599,river Oja,Europe,Spain,42.57,-2.91,1990,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Agricultural,no data,"Diaz, J.M.M., de la Orden Gomez, J.A., Geta, J.A.L., Campos, J.C.R., Gonzalez-Ramon, A., Machuca, M.M., 2002. Lessons from groundwater recharge projects in Spain in: Dillon, P. (Ed.), International symposium on artificial recharge of groundwater; Management of aquifer recharge for sustainability; , pp. 393-398.",-2.91 42.57
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a62,1113,Declez Basin,North America,USA,34.031898,-117.500702,2004,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Storm water,no data,no data,"<a href='http://www.nwri-usa.org/pdfs/WildermuthPresentationfinal.pdf' target='_blank'>Wildermuth, M., W. Wang, K. Manning, and B. Pak. 2011. Optimization of Supplemental Water Recharge Location and Magnitude to Balance Recharge and Discharge in the Chino Basin. Presentation presented at the Managed Aquifer Recharge Symposium, January, Irvine, California. http://www.nwri-usa.org/rechargesymposium2011.htm#Abstractsubmittal.</a>",-117.500702 34.031898
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a63,678,Gully Winds,Oceania,Australia,-34.568604,138.7540464,1995,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://webarchive.nla.gov.au/gov/20160615090454/http://archive.nwc.gov.au/library/waterlines/45' target='_blank'>GHD Pty. Ltd, and AGT Pty. Ltd. 2011. Feasibility of Managed Aquifer Recharge for Agriculture. 45. Waterlines Report Series. Canberra, Australia: National Water Commission. http://webarchive.nla.gov.au/gov/20160615090454/http://archive.nwc.gov.au/library/waterlines/45</a>",138.7540464 -34.568604
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a64,336,Sur 2,Asia,Oman,22.461952,59.338049,1987,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Physical Aquifer Management,"Abdalla, O. A. E., and A. S. Al-Rawahi. 2013. Groundwater Recharge Dams in Arid Areas as Tools for Aquifer Replenishment and Mitigating Seawater Intrusion: Example of AlKhod, Oman. Environmental Earth Sciences 69 (6): 1951–1962. doi:10.1007/s12665-012-2028-x.",59.338049 22.461952
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a65,883,ASR Pilot Study site,North America,USA,32.776973,-79.970003,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,no data,no data,"<a href='https://pubs.usgs.gov/sir/2004/5046/pdf/sir2004-5046.pdf' target='_blank'>Petkewich, M. D., D. L. Parkhurst, K. J. Conlon, B. G. Campbell, and J. E. Mirecki. 2004. Hydrologic and Geochemical Evaluation of Aquifer Storage Recovery in the Santee Limestone/Black Mingo Aquifer, Charleston, South Carolina, 1998 – 2002. 2004–5046. Scientific Investigations Report. Reston, Virginia, USA: U.S. Geological Survey.</a>",-79.970003 32.776973
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a66,246,Rayal Cheruvu area,Asia,India,13.5078,79.375606,1994,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,"Sankaranna, G. 2002. Impact of Water Harvesting Structures on Ground Water Development: A Study from Chittoor District, Andhra Pradesh, India. In Management of Aquifer Recharge for Sustainability: Proceedings of the 4th International Symposium on Artificial Recharge of Groundwater, ISAR-4, Adelaide, South Australia, 22-26 September 2002, edited by P. J. Dillon, 305–308. Lisse ; Exton, PA: A.A. Balkema.",79.375606 13.5078
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a67,82,Xi'an,Asia,China,34.180459,108.92807,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage using wells,<a href='https://inowas.com/mar-methods/shallow-wells-shafts-and-pits-infiltration/' target='_blank'>Shallow well/shaft/pit infiltration</a>,Reclaimed wastewater,Ecological,Physical Aquifer Management,"Dong, Y., P. Zhao, and W. Zhou. 2011. Effect of Artificial Aquifer Recharge on Hydraulic Conductivity Using Single Injection Well. In 2011 International Symposium on Water Resource and Environmental Protection (ISWREP 2011), Xi’an, Shaanxi Province, China. 20 - 22 May 2011, 3:2115–2117. IEEE. doi:10.1109/ISWREP.2011.5893680.",108.92807 34.180459
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a68,1071,Grand Strand Water and Sewer Authority,North America,USA,33.782414,-79.024041,1997,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,no data,no data,"<a href='http://www.asrforum.com/picturepages/OperASRUS052404.pdf' target='_blank'>Pyne, R. D. G. 2004. Known Operating ASR Systems in the United States (as of May 2004). ASR Systems LLC. http://www.asrforum.com/picturepages/OperASRUS052404.pdf</a>",-79.024041 33.782414
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a69,1010,City of Beaverton ASR Project,North America,USA,45.463481,-122.815834,1999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Tap water,Domestic,Maximize Natural Storage,"Bouwer, H., and AWWA Research Foundation, eds. 2008. Design, Operation, and Maintenance for Sustainable Underground Storage Facilities. Denver, Colo. : [London]: Awwa Research Foundation : distributed by American Water Works Association ; distributed by IWA Publishing.",-122.815834 45.463481
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6a,798,Sítio Estação Ecológica UFMG,South America,Brasil,-19.88307,-43.975012,2008,-9999,Rainwater and Run-off Harvesting,Trenches,<a href='https://inowas.com/mar-methods/trenches/' target='_blank'>Trenches</a>,Storm water,Domestic,Physical Aquifer Management,"Caputo, Ú. K., P. M. Moura, N. Oliveira, and I. Aguiar. 2013. Trincheiras de infiltração instaladas em Belo Horizonte–Aspectos operacionais. In Anais do XX Simpósio Brasileiro de Recursos Hídricos. Bento Gonçalves, Brasil. http://www.abrh.org.br/sgcv3/UserFiles/Sumarios/82fd3647232d99d3705da2b839800367_87101065e7f235b33668aeab13df3ff2.pdf",-63.858082
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6b,492,C. Rodenhuis,Europe,Netherlands,51.936,4.775,1968,-9999,Induced Bank Filtration,Bank filtration,<a href='https://inowas.com/mar-methods/induced-bank-filtration/' target='_blank'>River/lake bank filtration</a><br><a href='https://inowas.com/mar-methods/dune-filtration/' target='_blank'>Dune filtration</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P., Juhàsz-Holterman, M.A., de Lange, W., 2006. Riverbank Filtration in the The Netherlands: Well Fields, Clogging and Geochemical Reactions, in: Hubbs, S. (Ed.), Riverbank Filtration Hydrology. Springer The Netherlands, pp. 119-153.",4.775 51.936
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6c,533,Nieuwegein,Europe,Netherlands,52.032,5.094,1996,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Water Quality Management,"Stuyfzand, P.J., Nienhuis, P., Antoniou, A., Zuurbier, K., 2012. Haalbaarheid van ondergrondse berging via A(S/T)R in Hollands kustduinen.",5.094 52.032
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6d,144,Shuanghuayuan Community,Asia,China,39.897832,116.447768,2004,-9999,Rainwater and Run-off Harvesting,Rooftop Rainwater Harvesting,<a href='https://inowas.com/mar-methods/rooftop-rainwater-harvesting/' target='_blank'>Rooftop rainwater harvesting</a>,Storm water,Ecological,Other Benefits,"Yan, J.-H. 2009. Urban rainwater harvesting and utilization of the Loess Plateau (in Chinese: 黄土高原城市雨水集蓄利用研究). Master thesis, Lanzhou, China: Gansu Agricultural University.",116.447768 39.897832
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6e,603,Dösebacke,Europe,Sweden,56.6735,16.3169,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Water Quality Management,"<a href='http://publications.lib.chalmers.se/records/fulltext/162972.pdf' target='_blank'>Florence Atubo, M.M., 2012. Microbiological Risk Analysis of Kungälv Drinking Water Treatment Plant, Department of Civil and Environmental Engineering. CHALMERS UNIVERSITY OF TECHNOLOGY, Gothenburg, Sweden.</a>",16.3169 56.6735
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a6f,637,Ixtapaluca (Parque Ejidal los Depósitos),North America,Mexico,19.324525,-98.843104,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Storm water,Domestic,Maximize Natural Storage,Comisión de la cuenca de los ríos Amecameca y La Compañia. 2010. Prevención de inundaciones e infiltración de agua de lluvia. http://cuencavalledemexico.com/wp-content/uploads/2010/12/GEO-64-Prevención-Inundaciones.pdf.,-98.843104 19.324525
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a70,227,Lalpura (Koda Wala),Asia,India,27.264041,76.163959,1987,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Agricultural,Maximize Natural Storage,"Glendenning, C. J., and R. W. Vervoort. 2010. Hydrological Impacts of Rainwater Harvesting (RWH) in a Case Study Catchment: The Arvari River, Rajasthan, India. Part 1: Field-Scale Impacts. Agricultural Water Management 98 (2): 331–342. doi:10.1016/j.agwat.2010.09.003.",76.163959 27.264041
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a71,771,Fazenda Baixa Verde,South America,Brasil,-8.916656,-44.7091,-9999,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://www.aba-agroecologia.org.br/revistas/index.php/cad/article/view/15261' target='_blank'>da Silva, M. S. L., A. H. R. C. de Araújo, G. B. Ferreira, T. J. F. Cunha, and M. B. de O. Neto. 2013. Barragem subterrânea: contribuindo para a segurança alimentar e nutricional das famílias do Semiárido brasileiro. Cadernos de Agroecologia 8 (2). http://www.aba-agroecologia.org.br/revistas/index.php/cad/article/view/15261</a>",-53.625756
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1a72,433,Böckinger Wiesen,Europe,Germany,49.129,9.165,-9999,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),Lake water,Domestic,Water Quality Management,"Furrer, R., Fleig, M., Brauch, H.J., 2000. Wasserförderung und -aufbereitung im Rheineinzugsgebiet. Rheinthemen 2.",9.165 49.129
