FID,id,site_name,continent,country,latitude,longitude,year_operation_start,year_shut_down,main_mar_type,specific_mar_type,link_to_documents,influent_source,final_use,main_objective,reference_author_year,wgs84
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd1,833,Assentamento Pedro Henrique - BS-4 (Owner: Maria de Lourdes F. da Silva),South America,Brasil,-6.78083,-35.75722,2010,-9999,In-Channel Modification,Subsurface Dam,<a href='https://inowas.com/mar-methods/subsurface-dams/' target='_blank'>Subsurface dams</a>,River water,Agricultural,Maximize Natural Storage,"<a href='http://dspace.bc.uepb.edu.br:8080/xmlui/bitstream/handle/123456789/1617/PDF%20-%20F%C3%A1bio%20Luiz%20Bezerra%20de%20Oliveira.pdf?sequence=1&isAllowed=y' target='_blank'>Oliveira, F. L. B. de. 2012. Manejo do solo e água e opções de cultivo nas barragens subterrâneas no Assentamento Pedro Henrique no município de Solânea–PB. Guarabira, Brazil: UEPB-Universidade Estadual da Paraíba. http://dspace.bc.uepb.edu.br:8080/xmlui/handle/123456789/1617.</a>",-42.53805
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd2,344,Al-Mazraa,Asia,Syria,33.52459,36.296725,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Domestic,Maximize Natural Storage,"<a href='http://www.dina-mar.es/pdf/ismar7-proceedingsbook.pdf' target='_blank'>Wannous, M., and Q. Natouf. 2012. Artificial Recharge In Damascus Basin, Almazraa Drinking Water Field. In Achieving Ground Water Supply Sustainability & Reliability through Managed Aquifer Recharge. Abu Dhabi, UAE: International Association of Hydrogeologists. http://www.dina-mar.es/pdf/ismar7-proceedingsbook.pdf</a>",36.296725 33.52459
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd3,952,"Pacific Power & Light Co. - 3D5,6",North America,USA,45.518028,-122.678194,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Industrial,Other Benefits,"<a href='http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.' target='_blank'>Price, D., D. H. Hart, and B. L. Foxworthy. 1965. Artificial Recharge in Oregon and Washington 1962. 1594-C. Water Supply Paper. U.S. Geological Survey. http://pubs.er.usgs.gov/publication/wsp1594C?currow=684.</a>",-122.678194 45.518028
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd4,680,Northfield/Northgate,Oceania,Australia,-34.858292,138.6271309,2001,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Storm water,Domestic,Ecological Benefits,"<a href='https://books.google.nl/books?id=rQcJOSPciDkC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false' target='_blank'>Dillion, P. 2002. Banking of Stormwater, Reclaimed Water and Potable Water in Aquifers. In Sustainable Development and Management of Groundwater Resources in Semi-Arid Regions with Special Reference to Hard Rocks, edited by M. Thangarajan, S. N. Rai, and V. S. Singh, 71–80. Dindigul, India: CRC Press. https://books.google.nl/books?id=rQcJOSPciDkC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false</a>",138.6271309 -34.858292
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd5,87,Xi'an Nuclear Instrument Factory,Asia,China,34.222643,108.955589,2009,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,River water,Ecological,Physical Aquifer Management,"<a href='http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=dixs201204004' target='_blank'>Su, T.-M. 2012. Six demonstration sites groundwater recharge in Xi’an (in Chinese: 西安市建成投運六處地下水回灌示範點). Groundwater, April. http://www.wanfangdata.com.cn/details/detail.do?_type=perio&id=dixs201204004</a>",108.955589 34.222643
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd6,747,Sandy Creek Weir  (Lockyer Valley),Oceania,Australia,-27.637178,152.331268,-9999,-9999,In-Channel Modification,Check dam,<a href='https://inowas.com/mar-methods/recharge-dams/' target='_blank'>Recharge dams</a>,River water,Ecological,Maximize Natural Storage,"<a href='https://qldgov.softlinkhosting.com.au/liberty/opac/search.do?mode=BASIC&corporation=DERM&limit=All&action=search&anonymous=true&queryTerm=Soils+and+irrigated+land+suitability+of+the+Lockyer+Valley+alluvial+plains%2C+South-East+Queensland&resourceCollection=All&branch=All&operator=AND#' target='_blank'>Powell, B., J. Loi, and N. G. Christianos. 2002. Soils and Irrigated Land Suitability of the Lockyer Valley Alluvial Plains, South-East Queensland. QNRM01215. Land Resources Bulletin. Queensland, Australia: Department of Natural Resources and Mines. https://qldgov.softlinkhosting.com.au/liberty/opac/search.do?mode=BASIC&corporation=DERM&limit=All&action=search&anonymous=true&queryTerm=Soils+and+irrigated+land+suitability+of+the+Lockyer+Valley+alluvial+plains%2C+South-East+Queensland&resourceCollection=All&branch=All&operator=AND#</a>",152.331268 -27.637178
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd7,1089,New River-Agua Fria River Underground Storage Project (NAUSP),North America,USA,33.526209,-112.285105,2007,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,Domestic,Maximize Natural Storage,"<a href='http://www.nwri-usa.org/pdfs/LluriaPresentationfinal.pdf' target='_blank'>Lluria, M. R., G. G. Small, and F. Marsh. 2011. Managed Aquifer Recharge for the Arizona Desert: The Development of Large Surface Water Spreading Facilities. Presentation presented at the Managed Aquifer Recharge Symposium, January, Irvine, California. http://www.nwri-usa.org/pdfs/LluriaPresentationfinal.pdf</a>",-112.285105 33.526209
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd8,529,Breehei,Europe,Netherlands,51.482,6.011,1994,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,Groundwater,Domestic,Water Quality Management,"Stuyfzand, P.J., Nienhuis, P., Antoniou, A., Zuurbier, K., 2012. Haalbaarheid van ondergrondse berging via A(S/T)R in Hollands kustduinen.",6.011 51.482
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bd9,971,Big Dalton Spreading Grounds,North America,USA,34.153644,-117.836233,1930,-9999,Spreading Methods,Infiltration basin,<a href='https://inowas.com/mar-methods/infiltration-ponds-and-basins/' target='_blank'>Infiltration ponds</a> (<a href='https://inowas.com/mar-methods/soil-aquifer-treatment-sat/' target='_blank'>SAT</a>),River water,no data,Physical Aquifer Management,"<a href='http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=11' target='_blank'>Big Dalton Spreading Grounds. 2015. County of Los Angeles - Department of Public Works. http://www.ladpw.org/wrd/spreadingground/information/facdept.cfm?facinit=11 (accessed October 18, 2015).</a>",-117.836233 34.153644
globalmar_202005_02_MAR_influentsource.fid--6d6ccaee_171ff1a6a80_1bda,630,Lytchet Minster,Europe,United Kingdom,50.738097,-2.058591,-9999,-9999,"Well, Shaft and Borehole Recharge",Aquifer storage and recovery,<a href='https://inowas.com/mar-methods/aquifer-storage-and-recovery-asr/' target='_blank'>ASR</a>/<a href='https://inowas.com/mar-methods/aquifer-storage-transfer-and-recovery-astr/' target='_blank'>ASTR</a>,no data,no data,no data,"<a href='http://nora.nerc.ac.uk/id/eprint/12664/1/IR00077.pdf' target='_blank'>Tyler-Whittle, R., Shand, P., Griffiths, K.J., Edmunds, W.M., 2000. Hydrogeological Field Guide to the Wessex Basin. British Geological Survey Report IR/00/77.</a>",-2.058591 50.738097
