Site name,Continent,Country,Latitude,Longitude,MAR objective,P-ET
Caloosahatchee River ASR (CRASR),North America,USA,26.711697,-81.557011,no data,413.2106628
San Gabriel Canyon Spreading Grounds,North America,USA,34.15109,-117.914103,Physical Aquifer Management,60.72733307
Sítio Serrota,South America,Brasil,-6.260875,-37.81138,Maximize Natural Storage,275.5066528
Asian Institute of Technology (AIT),Asia,Thailand,14.081453,100.601654,Physical Aquifer Management,495.9140015
Friendship Farm,Asia,China,46.78169,131.810963,Maximize Natural Storage,164.7306671
Matchaponix Brook,North America,USA,40.317605,-74.360276,no data,639.166687
WW Dollar + WW Hardt,Europe,France,47.749,7.334,no data,583.7360229
Hameerpur (Jabar Sagar),Asia,India,27.21825,76.195665,Maximize Natural Storage,261.2086792
Gordon Road WWTP,Oceania,Australia,-32.5078564,115.7531894,Ecological Benefits,191.7833405
Assentamento Santo Agostinho,South America,Brasil,-5.41557,-37.3746,Maximize Natural Storage,256.8193359
Valley Boulevard Rubber Dam,North America,USA,34.049977,-118.009124,Physical Aquifer Management,60.72733307
Grantham Weir  (Lockyer Valley),Oceania,Australia,-27.575796,152.216674,Maximize Natural Storage,328.697998
Heihe River,Asia,China,35.213283,107.349539,Maximize Natural Storage,117.6320038
"Da Yao Cun, Guangrao Xian",Asia,China,37.108194,118.366194,Physical Aquifer Management,182.8006592
Menashe,Asia,Israel,32.460961,34.919873,Physical Aquifer Management,173.6186676
Perth Groundwater Replenishment Scheme Stage 1,Oceania,Australia,-31.782679,115.776711,Management of Water Distribution Systems,135.9806671
New Friends Club,Asia,India,28.562541,77.266554,Maximize Natural Storage,261.2086792
Royal Bhutanese Embassy,Asia,India,28.586543,77.180794,Maximize Natural Storage,261.2086792
Mogarala area,Asia,India,13.481932,79.043898,Physical Aquifer Management,320.4493408
Caborca,North America,Mexico,30.704088,-112.140627,Maximize Natural Storage,46.2140007
Fazenda Mandassaia,South America,Brasil,-8.65,-41.16667,Maximize Natural Storage,101.4586639
Boynton Beach,North America,USA,26.51377,-80.062819,Maximize Natural Storage,413.2106628
